timestamp,track_id,plate_number,violation_type,image_path,plate_image_path
2026-07-26T02:00:29,163,,NO_HELMET,outputs\khong_doi_mu\163_20260726_020029_nguoi.jpg,outputs\khong_doi_mu\163_20260726_020029_bienso.jpg
2026-07-26T02:00:31,157,,NO_HELMET,outputs\khong_doi_mu\157_20260726_020031_nguoi.jpg,outputs\khong_doi_mu\157_20260726_020031_bienso.jpg
2026-07-26T02:00:34,212,,NO_HELMET,outputs\khong_doi_mu\212_20260726_020034_nguoi.jpg,
2026-07-26T02:00:39,251,,NO_HELMET,outputs\khong_doi_mu\251_20260726_020039_nguoi.jpg,outputs\khong_doi_mu\251_20260726_020039_bienso.jpg
2026-07-26T02:00:41,361,,NO_HELMET,outputs\khong_doi_mu\361_20260726_020041_nguoi.jpg,
2026-07-26T02:00:52,570,,NO_HELMET,outputs\khong_doi_mu\570_20260726_020052_nguoi.jpg,
2026-07-26T02:00:53,593,,NO_HELMET,outputs\khong_doi_mu\593_20260726_020053_nguoi.jpg,
2026-07-26T02:01:07,810,,NO_HELMET,outputs\khong_doi_mu\810_20260726_020107_nguoi.jpg,
2026-07-26T02:01:09,867,,NO_HELMET,outputs\khong_doi_mu\867_20260726_020109_nguoi.jpg,
2026-07-26T02:01:22,1020,,NO_HELMET,outputs\khong_doi_mu\1020_20260726_020122_nguoi.jpg,outputs\khong_doi_mu\1020_20260726_020122_bienso.jpg
2026-07-26T02:01:24,1001,,NO_HELMET,outputs\khong_doi_mu\1001_20260726_020124_nguoi.jpg,
2026-07-26T02:01:28,1173,,NO_HELMET,outputs\khong_doi_mu\1173_20260726_020128_nguoi.jpg,
2026-07-26T02:01:31,1229,,NO_HELMET,outputs\khong_doi_mu\1229_20260726_020131_nguoi.jpg,outputs\khong_doi_mu\1229_20260726_020131_bienso.jpg
2026-07-26T02:01:31,1233,,NO_HELMET,outputs\khong_doi_mu\1233_20260726_020131_nguoi.jpg,
2026-07-26T12:08:13,125,,NO_HELMET,outputs\khong_doi_mu\125_20260726_120813_nguoi.jpg,
2026-07-26T12:08:17,157,,NO_HELMET,outputs\khong_doi_mu\157_20260726_120817_nguoi.jpg,outputs\khong_doi_mu\157_20260726_120817_bienso.jpg
2026-07-26T12:08:19,163,,NO_HELMET,outputs\khong_doi_mu\163_20260726_120819_nguoi.jpg,outputs\khong_doi_mu\163_20260726_120819_bienso.jpg
2026-07-26T12:08:22,156,,NO_HELMET,outputs\khong_doi_mu\156_20260726_120822_nguoi.jpg,outputs\khong_doi_mu\156_20260726_120822_bienso.jpg
2026-07-26T12:08:26,210,,NO_HELMET,outputs\khong_doi_mu\210_20260726_120826_nguoi.jpg,
